Country,Year,CB.Rate,,,,,,
Sweden,1975,6.6457,,,,,,
Sweden,1976,6.314,,,,,,
Sweden,1977,8,,,,,,
Sweden,1978,6.9922,,,,,,
Sweden,1979,7.0824,,,,,,
Sweden,1980,9.9526,,,,,,
Sweden,1981,11.6892,,,,,,
Sweden,1982,10.1905,,,,,,
Sweden,1983,8.6818,,,,,,
Sweden,1984,9.012,,,,,,
Sweden,1985,10.296,,,,,,
Sweden,1986,8.247,,,,,,
Sweden,1987,7.5,,,,,,
Sweden,1988,8.1798,,,,,,
Sweden,1989,9.2331,,,,,,
Sweden,1990,11.108,,,,,,
Sweden,1991,9.404,,,,,,
Sweden,1992,8.8506,,,,,,
Sweden,1993,6.7579,,,,,,
Sweden,1994,5.3854,,,,,,
Sweden,1995,7.1355,,,,,,
Sweden,1996,4.8845,,,,,,
Sweden,1997,2.504,,,,,,
Sweden,1998,2.244,,,,,,
Sweden,1999,1.252,,,,,,
Sweden,2000,2.1155,,,,,,
Sweden,2001,1.882,,,,,,
Sweden,2002,4.5,,,,,,
Sweden,2003,3.4859,,,,,,
Sweden,2004,2.4862,,,,,,
Sweden,2005,1.7431,,,,,,
Sweden,2006,2.01,,,,,,
Sweden,2007,3.254,,,,,,
Sweden,2008,4.254,,,,,,
Sweden,2009,1.2291,,,,,,
Sweden,2010,0.5,,,,,,
Sweden,2011,1.7569,,,,,,
Sweden,2012,1.746,,,,,,
Sweden,2013,1,,,,,,
Sweden,2014,1,,,,,,
Sweden,2015,0,,,,,,
Switzerland,1970,3.75,,,,,,
Switzerland,1971,3.75,,,,,,
Switzerland,1972,3.75,,,,,,
Switzerland,1973,4.5,,,,,,
Switzerland,1974,5.5,,,,,,
Switzerland,1975,3,,,,,,
Switzerland,1976,2,,,,,,
Switzerland,1977,1.5,,,,,,
Switzerland,1978,1,,,,,,
Switzerland,1979,2,,,,,,
Switzerland,1980,3,,,,,,
Switzerland,1981,6,,,,,,
Switzerland,1982,4.5,,,,,,
Switzerland,1983,4,,,,,,
Switzerland,1984,4,,,,,,
Switzerland,1985,4,,,,,,
Switzerland,1986,4,,,,,,
Switzerland,1987,2.5,,,,,,
Switzerland,1988,3.5,,,,,,
Switzerland,1989,6,,,,,,
Switzerland,1990,6,,,,,,
Switzerland,1991,7,,,,,,
Switzerland,1992,6,,,,,,
Switzerland,1993,4,,,,,,
Switzerland,1994,3.5,,,,,,
Switzerland,1995,1.5,,,,,,
Switzerland,1996,1,,,,,,
Switzerland,1997,1,,,,,,
Switzerland,1998,1,,,,,,
Switzerland,1999,0.5,,,,,,
Switzerland,2000,4,,,,,,
Switzerland,2001,2.25,,,,,,
Switzerland,2002,1.25,,,,,,
Switzerland,2003,0.75,,,,,,
Switzerland,2004,1.25,,,,,,
Switzerland,2005,1.5,,,,,,
Switzerland,2006,2.5,,,,,,
Switzerland,2007,3.25,,,,,,
Switzerland,2008,1,,,,,,
Switzerland,2009,0.75,,,,,,
Switzerland,2010,0.75,,,,,,
Switzerland,2011,0.25,,,,,,
Switzerland,2012,0.25,,,,,,
Switzerland,2013,0.25,,,,,,
Switzerland,2014,0.25,,,,,,
Switzerland,2015,-0.25,,,,,,
United Kingdom,1970,7,,,,,,
United Kingdom,1971,5,,,,,,
United Kingdom,1972,9,,,,,,
United Kingdom,1973,13,,,,,,
United Kingdom,1974,11.5,,,,,,
United Kingdom,1975,11.25,,,,,,
United Kingdom,1976,14.25,,,,,,
United Kingdom,1977,7,,,,,,
United Kingdom,1978,12.5,,,,,,
United Kingdom,1979,17,,,,,,
United Kingdom,1980,14,,,,,,
United Kingdom,1981,14.375,,,,,,
United Kingdom,1982,10,,,,,,
United Kingdom,1983,9.0625,,,,,,
United Kingdom,1984,9.5,,,,,,
United Kingdom,1985,11.375,,,,,,
United Kingdom,1986,10.875,,,,,,
United Kingdom,1987,8.375,,,,,,
United Kingdom,1988,12.875,,,,,,
United Kingdom,1989,14.875,,,,,,
United Kingdom,1990,13.875,,,,,,
United Kingdom,1991,10.375,,,,,,
United Kingdom,1992,6.875,,,,,,
United Kingdom,1993,5.375,,,,,,
United Kingdom,1994,6.125,,,,,,
United Kingdom,1995,6.375,,,,,,
United Kingdom,1996,5.9375,,,,,,
United Kingdom,1997,7.25,,,,,,
United Kingdom,1998,6.25,,,,,,
United Kingdom,1999,5.5,,,,,,
United Kingdom,2000,6,,,,,,
United Kingdom,2001,4,,,,,,
United Kingdom,2002,4,,,,,,
United Kingdom,2003,3.75,,,,,,
United Kingdom,2004,4.75,,,,,,
United Kingdom,2005,4.5,,,,,,
United Kingdom,2006,5,,,,,,
United Kingdom,2007,5.5,,,,,,
United Kingdom,2008,2,,,,,,
United Kingdom,2009,0.5,,,,,,
United Kingdom,2010,0.5,,,,,,
United Kingdom,2011,0.5,,,,,,
United Kingdom,2012,0.5,,,,,,
United Kingdom,2013,0.5,,,,,,
United Kingdom,2014,0.5,,,,,,
United Kingdom,2015,0.5,,,,,,
United States,1970,5.52,,,,,,
United States,1971,4.63,,,,,,
United States,1972,4.5,,,,,,
United States,1973,7.5,,,,,,
United States,1974,7.81,,,,,,
United States,1975,6,,,,,,
United States,1976,5.25,,,,,,
United States,1977,6,,,,,,
United States,1978,9.5,,,,,,
United States,1979,12,,,,,,
United States,1980,12.87,,,,,,
United States,1981,12.1,,,,,,
United States,1982,8.73,,,,,,
United States,1983,8.5,,,,,,
United States,1984,8.37,,,,,,
United States,1985,7.5,,,,,,
United States,1986,5.5,,,,,,
United States,1987,6,,,,,,
United States,1988,6.5,,,,,,
United States,1989,7,,,,,,
United States,1990,6.79,,,,,,
United States,1991,4.11,,,,,,
United States,1992,3,,,,,,
United States,1993,3,,,,,,
United States,1994,4.75,,,,,,
United States,1995,5.25,,,,,,
United States,1996,5,,,,,,
United States,1997,5,,,,,,
United States,1998,4.5,,,,,,
United States,1999,5,,,,,,
United States,2000,6,,,,,,
United States,2001,1.33,,,,,,
United States,2002,0.75,,,,,,
United States,2003,2,,,,,,
United States,2004,3.25,,,,,,
United States,2005,5.25,,,,,,
United States,2006,6.25,,,,,,
United States,2007,4.75,,,,,,
United States,2008,0.5,,,,,,
United States,2009,0.5,,,,,,
United States,2010,0.75,,,,,,
United States,2011,0.75,,,,,,
United States,2012,0.75,,,,,,
United States,2013,0.75,,,,,,
United States,2014,0.75,,,,,,
United States,2015,1,,,,,,
