Country,Year,CPI
Sweden,1964,10.49
Sweden,1965,11.01
Sweden,1966,11.72
Sweden,1967,12.22
Sweden,1968,12.46
Sweden,1969,12.79
Sweden,1970,13.69
Sweden,1971,14.7
Sweden,1972,15.58
Sweden,1973,16.63
Sweden,1974,18.28
Sweden,1975,20.07
Sweden,1976,22.13
Sweden,1977,24.67
Sweden,1978,27.12
Sweden,1979,29.08
Sweden,1980,33.06
Sweden,1981,37.06
Sweden,1982,40.24
Sweden,1983,43.83
Sweden,1984,47.34
Sweden,1985,50.83
Sweden,1986,52.98
Sweden,1987,55.22
Sweden,1988,58.42
Sweden,1989,62.18
Sweden,1990,68.69
Sweden,1991,75.11
Sweden,1992,76.82
Sweden,1993,80.39
Sweden,1994,82.16
Sweden,1995,84.24
Sweden,1996,84.63
Sweden,1997,85.07
Sweden,1998,84.96
Sweden,1999,85.34
Sweden,2000,86.23
Sweden,2001,88.3
Sweden,2002,90.21
Sweden,2003,91.94
Sweden,2004,92.29
Sweden,2005,92.71
Sweden,2006,93.97
Sweden,2007,96.05
Sweden,2008,99.35
Sweden,2009,98.86
Sweden,2010,100
Sweden,2011,102.96
Sweden,2012,103.88
Sweden,2013,103.83
Sweden,2014,103.64
Sweden,2015,103.59
Sweden,2016,104.61
Switzerland,1950,20.85
Switzerland,1951,21.85
Switzerland,1952,22.4
Switzerland,1953,22.25
Switzerland,1954,22.41
Switzerland,1955,22.62
Switzerland,1956,22.96
Switzerland,1957,23.41
Switzerland,1958,23.84
Switzerland,1959,23.69
Switzerland,1960,24.03
Switzerland,1961,24.47
Switzerland,1962,25.53
Switzerland,1963,26.4
Switzerland,1964,27.22
Switzerland,1965,28.15
Switzerland,1966,29.49
Switzerland,1967,30.68
Switzerland,1968,31.42
Switzerland,1969,32.2
Switzerland,1970,33.36
Switzerland,1971,35.56
Switzerland,1972,37.92
Switzerland,1973,41.24
Switzerland,1974,45.27
Switzerland,1975,48.3
Switzerland,1976,49.13
Switzerland,1977,49.76
Switzerland,1978,50.29
Switzerland,1979,52.12
Switzerland,1980,54.22
Switzerland,1981,57.74
Switzerland,1982,61.01
Switzerland,1983,62.82
Switzerland,1984,64.64
Switzerland,1985,66.86
Switzerland,1986,67.36
Switzerland,1987,68.33
Switzerland,1988,69.62
Switzerland,1989,71.82
Switzerland,1990,75.69
Switzerland,1991,80.14
Switzerland,1992,83.37
Switzerland,1993,86.1
Switzerland,1994,86.84
Switzerland,1995,88.4
Switzerland,1996,89.13
Switzerland,1997,89.59
Switzerland,1998,89.61
Switzerland,1999,90.35
Switzerland,2000,91.74
Switzerland,2001,92.65
Switzerland,2002,93.24
Switzerland,2003,93.84
Switzerland,2004,94.59
Switzerland,2005,95.7
Switzerland,2006,96.71
Switzerland,2007,97.42
Switzerland,2008,99.79
Switzerland,2009,99.31
Switzerland,2010,100
Switzerland,2011,100.23
Switzerland,2012,99.54
Switzerland,2013,99.32
Switzerland,2014,99.31
Switzerland,2015,98.17
Switzerland,2016,97.75
Turkey,1953,0
Turkey,1954,0
Turkey,1955,0
Turkey,1956,0
Turkey,1957,0
Turkey,1958,0
Turkey,1959,0
Turkey,1960,0
Turkey,1961,0
Turkey,1962,0
Turkey,1963,0
Turkey,1964,0
Turkey,1965,0
Turkey,1966,0
Turkey,1967,0
Turkey,1968,0
Turkey,1969,0
Turkey,1970,0
Turkey,1971,0
Turkey,1972,0
Turkey,1973,0
Turkey,1974,0
Turkey,1975,0
Turkey,1976,0
Turkey,1977,0
Turkey,1978,0
Turkey,1979,0
Turkey,1980,0
Turkey,1981,0
Turkey,1982,0
Turkey,1983,0
Turkey,1984,0.01
Turkey,1985,0.01
Turkey,1986,0.01
Turkey,1987,0.01
Turkey,1988,0.03
Turkey,1989,0.04
Turkey,1990,0.07
Turkey,1991,0.11
Turkey,1992,0.19
Turkey,1993,0.31
Turkey,1994,0.65
Turkey,1995,1.22
Turkey,1996,2.2
Turkey,1997,4.09
Turkey,1998,7.55
Turkey,1999,12.45
Turkey,2000,19.28
Turkey,2001,29.77
Turkey,2002,43.15
Turkey,2003,54.07
Turkey,2004,59.79
Turkey,2005,65.85
Turkey,2006,72.17
Turkey,2007,78.49
Turkey,2008,86.69
Turkey,2009,92.11
Turkey,2010,100
Turkey,2011,106.47
Turkey,2012,115.94
Turkey,2013,124.63
Turkey,2014,135.66
Turkey,2015,146.07
Turkey,2016,157.42
United States,1950,11.03
United States,1951,11.92
United States,1952,12.18
United States,1953,12.27
United States,1954,12.32
United States,1955,12.28
United States,1956,12.47
United States,1957,12.9
United States,1958,13.25
United States,1959,13.37
United States,1960,13.57
United States,1961,13.72
United States,1962,13.87
United States,1963,14.04
United States,1964,14.22
United States,1965,14.46
United States,1966,14.89
United States,1967,15.31
United States,1968,15.95
United States,1969,16.82
United States,1970,17.81
United States,1971,18.57
United States,1972,19.18
United States,1973,20.37
United States,1974,22.62
United States,1975,24.69
United States,1976,26.1
United States,1977,27.79
United States,1978,29.92
United States,1979,33.29
United States,1980,37.79
United States,1981,41.69
United States,1982,44.25
United States,1983,45.68
United States,1984,47.65
United States,1985,49.35
United States,1986,50.26
United States,1987,52.14
United States,1988,54.23
United States,1989,56.85
United States,1990,59.92
United States,1991,62.46
United States,1992,64.35
United States,1993,66.25
United States,1994,67.98
United States,1995,69.88
United States,1996,71.93
United States,1997,73.61
United States,1998,74.76
United States,1999,76.39
United States,2000,78.97
United States,2001,81.2
United States,2002,82.49
United States,2003,84.36
United States,2004,86.62
United States,2005,89.56
United States,2006,92.45
United States,2007,95.09
United States,2008,98.74
United States,2009,98.39
United States,2010,100
United States,2011,103.16
United States,2012,105.29
United States,2013,106.83
United States,2014,108.57
United States,2015,108.7
United States,2016,110.07
